;battCharge;battDischarge;batteryCapacity;dateTime;id;loadCons;loadGrid;loadProd;newGrid;prices;prodUsage
101;9.600583333333333;0.35785;13.5;2014-01-05 05:00:00;102;0.35785;0.35765;0.0;0.0;0.00493;0.0
102;9.155466666666666;0.445116666666667;13.5;2014-01-05 06:00:00;103;0.445116666666667;0.444833333333333;0.0;0.0;0.00493;0.0
103;8.646466666666665;0.556383333333333;13.5;2014-01-05 07:00:00;104;0.556383333333333;0.507133333333333;0.0473833333333333;0.0;0.0504;0.0473833333333333
104;8.64125;0.428083333333333;13.5;2014-01-05 08:00:00;105;0.428083333333333;0.0052;0.422866666666667;0.0;0.0504;0.422866666666667
105;9.203516666666665;0.40205;13.5;2014-01-05 09:00:00;106;0.40205;-0.562416666666667;0.964316666666667;0.0;0.0504;0.964316666666667
106;11.545516666666666;0.24945;13.5;2014-01-05 10:00:00;107;0.24945;-2.34203333333333;2.59145;0.0;0.0504;2.59145
107;13.247666666666667;0.252333333333333;13.5;2014-01-05 11:00:00;108;0.252333333333333;-3.05215;3.3045;0.0;0.0504;1.954483333333334
108;13.1896;0.3104;13.5;2014-01-05 12:00:00;109;0.3104;-3.74071666666667;4.05106666666667;0.0;0.0504;0.25233333333333263
109;12.96555;0.53445;13.5;2014-01-05 13:00:00;110;0.53445;-3.7703;4.30465;0.0;0.0504;0.31039999999999957
110;13.20785;0.29215;13.5;2014-01-05 14:00:00;111;0.29215;-3.84833333333333;4.14045;0.0;0.0504;0.5344499999999996
111;13.173183333333332;0.326816666666667;13.5;2014-01-05 15:00:00;112;0.326816666666667;-3.08516666666667;3.412;0.0;0.0504;0.29214999999999947
112;12.8593;0.6407;13.5;2014-01-05 16:00:00;113;0.6407;-1.35195;1.9926;0.0;0.0504;0.32681666666666764
113;12.496983333333333;0.479466666666667;13.5;2014-01-05 17:00:00;114;0.479466666666667;0.352166666666667;0.11715;0.0;0.0504;0.11715
114;12.032966666666665;0.464016666666667;13.5;2014-01-05 18:00:00;115;0.464016666666667;0.463716666666667;0.0;0.0;0.0504;0.0
115;11.569849999999999;0.463116666666667;13.5;2014-01-05 19:00:00;116;0.463116666666667;0.4626;0.0;0.0;0.0504;0.0
116;11.082316666666665;0.487533333333333;13.5;2014-01-05 20:00:00;117;0.487533333333333;0.4871;0.0;0.0;0.0504;0.0
117;10.644316666666665;0.438;13.5;2014-01-05 21:00:00;118;0.438;0.437683333333333;0.0;0.0;0.0504;0.0
118;10.181149999999997;0.463166666666667;13.5;2014-01-05 22:00:00;119;0.463166666666667;0.46275;0.0;0.0;0.0504;0.0
119;9.643466666666663;0.537683333333333;13.5;2014-01-05 23:00:00;120;0.537683333333333;0.537183333333333;0.0;0.0;0.00493;0.0
120;9.16878333333333;0.474683333333333;13.5;2014-01-06 00:00:00;121;0.474683333333333;0.474266666666667;0.0;0.0;0.00493;0.0
121;8.91823333333333;0.25055;13.5;2014-01-06 01:00:00;122;0.25055;0.25055;0.0;0.0;0.00493;0.0
122;8.66978333333333;0.24845;13.5;2014-01-06 02:00:00;123;0.24845;0.24845;0.0;0.0;0.00493;0.0
123;8.436566666666662;0.233216666666667;13.5;2014-01-06 03:00:00;124;0.233216666666667;0.233216666666667;0.0;0.0;0.00493;0.0
124;7.985866666666662;0.4507;13.5;2014-01-06 04:00:00;125;0.4507;0.450083333333333;0.0;0.0;0.00493;0.0
125;7.212799999999995;0.774616666666667;13.5;2014-01-06 05:00:00;126;0.774616666666667;0.773283333333333;0.00155;0.0;0.00493;0.00155
126;6.305449999999995;0.907916666666667;13.5;2014-01-06 06:00:00;127;0.907916666666667;0.907333333333333;0.000566666666666667;0.0;0.00493;0.000566666666666667
127;5.634266666666662;0.691533333333333;13.5;2014-01-06 07:00:00;128;0.691533333333333;0.670283333333333;0.02035;0.0;0.0504;0.02035
128;5.765283333333328;0.37985;13.5;2014-01-06 08:00:00;129;0.37985;-0.131033333333333;0.510866666666667;0.0;0.0504;0.510866666666667
129;6.510399999999998;0.41305;13.5;2014-01-06 09:00:00;130;0.41305;-0.7451;1.15816666666667;0.0;0.0504;1.15816666666667
130;7.993033333333328;0.2506;13.5;2014-01-06 10:00:00;131;0.2506;-1.48263333333333;1.73323333333333;0.0;0.0504;1.73323333333333
